level_0,Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
213,Guilty Gear Xrd: Sign,2014.0,Fighting,Arc System Works,0.1,0.0,0.04,0.02,0.16
214,Yakuza Kiwami,2016.0,Adventure,Sega,0.0,0.0,0.16,0.0,0.16
215,Putty Squad,2013.0,Platform,System 3,0.06,0.07,0.0,0.03,0.16
216,Warriors Orochi 3,2014.0,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
217,The King of Fighters XIV,2016.0,Fighting,Deep Silver,0.07,0.02,0.04,0.02,0.15
218,LEGO Harry Potter Collection,2016.0,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.02,0.15
219,Yakuza: Ishin,2014.0,Action,Sega,0.0,0.0,0.15,0.0,0.15
220,BlazBlue: Chrono Phantasma Extend,2015.0,Action,PQube,0.07,0.03,0.02,0.02,0.14
221,Skylanders Imaginators,2016.0,Platform,Activision,0.04,0.08,0.0,0.02,0.14
222,XCOM 2,2016.0,Strategy,Take-Two Interactive,0.04,0.08,0.0,0.02,0.14
223,7 Days to Die,2016.0,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14
224,Dead Island Definitive Collection,2016.0,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14
225,Brothers: A Tale of Two Sons,2015.0,Adventure,505 Games,0.03,0.08,0.0,0.02,0.14
226,Gravity Rush Remastered,2015.0,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13
227,Final Fantasy XIV: Heavensward,2015.0,Action,Square Enix,0.0,0.06,0.06,0.01,0.13
228,Don Bradman Cricket 14,2015.0,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.12
229,Atelier Sophie: The Alchemist of the Mysterious Book,2015.0,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12
230,Sword Art Online: Hollow Fragment,2015.0,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.12
231,Robinson: The Journey,2016.0,Action,Crytek,0.06,0.03,0.0,0.02,0.12
232,Akiba's Trip: Undead & Undressed,2014.0,Action,Acquire,0.08,0.0,0.01,0.02,0.12
233,Samurai Warriors 4-II,2015.0,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12
234,Rugby 15,2015.0,Sports,Bigben Interactive,0.04,0.06,0.0,0.02,0.11
235,Digimon Story: Cyber Sleuth,2016.0,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.11
236,Wasteland 2,2015.0,Role-Playing,Deep Silver,0.08,0.0,0.02,0.02,0.11
237,RIGS: Mechanized Combat League,2016.0,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11
238,God Eater 2: Rage Burst,2015.0,Role-Playing,Namco Bandai Games,0.0,0.01,0.09,0.0,0.11
239,Fate/Extella: The Umbral Star,2016.0,Action,PQube,0.0,0.0,0.11,0.0,0.11
240,Earth Defense Force 2025.1: The Shadow of New Despair,2015.0,Action,D3Publisher,0.0,0.0,0.1,0.0,0.1
241,Ultra Street Fighter IV,2015.0,Fighting,Capcom,0.0,0.08,0.0,0.01,0.1
242,EVE: Valkyrie,2016.0,Shooter,CCP,0.03,0.05,0.0,0.02,0.1
243,The Crew: Wild Run,2015.0,Action,Ubisoft,0.0,0.08,0.0,0.01,0.1
244,Natural Doctrine,2014.0,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1
245,The Idolmaster: Platinum Stars,2016.0,Simulation,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
246,Gundam Breaker 3,2016.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
247,Samurai Warriors 4: Empires,2015.0,Action,Tecmo Koei,0.02,0.01,0.06,0.01,0.1
248,Super Robot Wars OG: The Moon Dwellers,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
249,Devil May Cry 4,2015.0,Action,Capcom,0.01,0.0,0.08,0.0,0.09
250,Adventure Time: Finn & Jake Investigations,2015.0,Action,Little Orbit,0.03,0.05,0.0,0.02,0.09
251,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Action,Activision,0.05,0.02,0.0,0.02,0.09
252,MXGP 2,2016.0,Racing,Milestone S.r.l.,0.02,0.05,0.0,0.01,0.09
253,DriveClub VR,2016.0,Racing,Sony Computer Entertainment,0.03,0.05,0.0,0.01,0.09
254,Arslan: The Warriors of Legend,2015.0,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09
255,Batman: A Telltale Game Series,2016.0,Adventure,Telltale Games,0.03,0.05,0.0,0.01,0.09
